Account,Transaction ID,Timestamp,Date,Delta,Amount,Cash Change Type,Currency,Contract
DEMO8052831,544176970003,06/16/2026 08:25:38,2026-06-16,"50,000.00","50,000.00", Fund Transaction,USD,
DEMO8052831,544176970025,06/16/2026 08:31:41,2026-06-16,-1.38,"49,998.62", Exchange Fee,USD,ESU6
DEMO8052831,544176970026,06/16/2026 08:31:41,2026-06-16,-0.19,"49,998.43", Clearing Fee,USD,ESU6
DEMO8052831,544176970027,06/16/2026 08:31:41,2026-06-16,-0.02,"49,998.41", Nfa Fee,USD,ESU6
DEMO8052831,544176970028,06/16/2026 08:31:41,2026-06-16,-1.29,"49,997.12", Commission,USD,ESU6
DEMO8052831,544176970035,06/16/2026 08:33:10,2026-06-16,-1.38,"49,995.74", Exchange Fee,USD,ESU6
DEMO8052831,544176970036,06/16/2026 08:33:10,2026-06-16,-0.19,"49,995.55", Clearing Fee,USD,ESU6
DEMO8052831,544176970037,06/16/2026 08:33:10,2026-06-16,-0.02,"49,995.53", Nfa Fee,USD,ESU6
DEMO8052831,544176970038,06/16/2026 08:33:10,2026-06-16,-1.29,"49,994.24", Commission,USD,ESU6
DEMO8052831,544176970041,06/16/2026 08:33:10,2026-06-16,275.00,"50,269.24", Trade Paired,USD,ESU6
DEMO8052831,544176970046,06/16/2026 08:44:34,2026-06-16,-1.38,"50,267.86", Exchange Fee,USD,ESU6
DEMO8052831,544176970047,06/16/2026 08:44:34,2026-06-16,-0.19,"50,267.67", Clearing Fee,USD,ESU6
DEMO8052831,544176970048,06/16/2026 08:44:34,2026-06-16,-0.02,"50,267.65", Nfa Fee,USD,ESU6
DEMO8052831,544176970049,06/16/2026 08:44:34,2026-06-16,-1.29,"50,266.36", Commission,USD,ESU6
DEMO8052831,544176970055,06/16/2026 08:45:19,2026-06-16,-1.38,"50,264.98", Exchange Fee,USD,ESU6
DEMO8052831,544176970056,06/16/2026 08:45:19,2026-06-16,-0.19,"50,264.79", Clearing Fee,USD,ESU6
DEMO8052831,544176970057,06/16/2026 08:45:19,2026-06-16,-0.02,"50,264.77", Nfa Fee,USD,ESU6
DEMO8052831,544176970058,06/16/2026 08:45:19,2026-06-16,-1.29,"50,263.48", Commission,USD,ESU6
DEMO8052831,544176970061,06/16/2026 08:45:19,2026-06-16,50.00,"50,313.48", Trade Paired,USD,ESU6
DEMO8052831,544176970066,06/16/2026 09:26:36,2026-06-16,-1.38,"50,312.10", Exchange Fee,USD,ESU6
DEMO8052831,544176970067,06/16/2026 09:26:36,2026-06-16,-0.19,"50,311.91", Clearing Fee,USD,ESU6
DEMO8052831,544176970068,06/16/2026 09:26:36,2026-06-16,-0.02,"50,311.89", Nfa Fee,USD,ESU6
DEMO8052831,544176970069,06/16/2026 09:26:36,2026-06-16,-1.29,"50,310.60", Commission,USD,ESU6
